# generated by test-amg-multisize.sh
time size PAPI_L1_TCM PAPI_L1_TCM PAPI_L1_TCM PAPI_TLB_DM
36 0.277833 12683929 12346682 239924 16749
36 0.274979 12683800 12334346 142496 16591
36 0.272495 12685347 12341115 174567 16509
36 0.252755 12685108 12337415 164197 16418
36 0.270928 12682049 12336549 170646 16619
36 0.272730 12683939 12335730 156787 16924
36 0.277060 12680615 12352293 186287 16835
36 0.275239 12682579 12341197 157202 16277
36 0.274600 12680265 12334160 170454 16564
36 0.283875 12684799 12337678 173259 16755
40 0.270925 17457274 17509099 2099304 21028
40 0.291140 17459121 17519912 2189385 20790
40 0.304477 17458668 17499741 2230879 20649
40 0.302845 17462658 17469207 2450834 21303
40 0.292205 17452847 17572163 2309028 21153
40 0.289417 17458340 17491292 2081017 20849
40 0.317846 17434020 17539994 2396977 20707
40 0.297140 17457403 17559145 2115825 20778
40 0.303733 17460930 17526215 2048480 20404
40 0.303337 17460869 17505260 2355210 20727
44 0.330178 23125064 27409691 10192633 26728
44 0.364397 23183825 26437190 10200243 27151
44 0.354193 23088094 27506077 10822664 27061
44 0.330240 23100903 27173829 10206682 26868
44 0.343108 23125005 27414334 10418928 26934
44 0.338070 23138781 27134549 10850481 26419
44 0.348273 23131713 27386681 10456264 27152
44 0.323496 23136356 27170823 10219202 26636
44 0.356838 23088871 27462888 10345595 26891
44 0.333666 23124241 27472747 10405649 26829
48 0.375329 30007523 38442977 17283587 34513
48 0.365881 29860721 40724742 16763420 35109
48 0.385948 30023139 37793182 17314151 35115
48 0.363864 29887451 40101449 16788262 34908
48 0.382066 30022756 37814338 17396015 34903
48 0.377552 29985165 38455402 17420407 35323
48 0.359108 29902768 40070285 17395090 35286
48 0.400523 30048149 37362119 16855231 35726
48 0.393042 30003416 38540147 15530047 36198
48 0.387929 29988918 38466563 17401692 35059
52 0.433429 38194216 50580635 22822212 44135
52 0.420803 38221324 49988396 23989750 44166
52 0.466288 38310770 48463140 24585850 43884
52 0.447435 38214136 50114716 21501486 44166
52 0.404011 38230010 49935957 24528163 44334
52 0.426225 38222874 49922348 24589788 43685
52 0.430747 38269621 49182228 21891906 43644
52 0.433439 38321956 48181533 23026151 44187
52 0.426572 38199360 50439562 21505328 44547
52 0.442686 38363733 47493278 23674429 43905
56 0.500425 48395444 63826405 27192980 54963
56 0.469554 48418489 62724741 28381222 56055
56 0.496454 48391280 63783642 27257309 55431
56 0.484675 48344869 63941115 28816508 55008
56 0.494141 48537812 60828578 28423358 156599
56 0.461263 48329482 62691319 28357114 54871
56 0.467628 48394005 62677155 28876003 54954
56 0.482296 48353296 63069190 28389422 54710
56 0.503006 48370255 62210675 27301364 228297
56 0.461335 48417605 62722036 27250739 55457
60 0.570346 61212435 78663712 35640961 283881
60 0.533888 61259242 77133620 33921536 285762
60 0.560740 61190087 78721893 34987732 286698
60 0.585015 61296264 76963677 31942870 289361
60 0.567682 61272053 77217115 35351024 285766
60 0.571271 61336622 75323506 35356698 284741
60 0.573274 61305353 76048964 33424760 286085
60 0.556475 61242608 77135727 33905807 283368
60 0.578039 61315489 75564348 35374912 286239
60 0.592486 61275843 77231133 35326127 284600
