time size PAPI_L1_TCM PAPI_L2_TCM PAPI_L3_TCM PAPI_TLB_DM
36 0.178469 12483077 11641492 2148013 3532
36 0.162685 12496199 11645513 2121755 3192
36 0.183532 12496715 11649593 2119258 3011
36 0.187403 12499218 11646221 2078217 3110
36 0.186797 12474924 11645496 2136293 2842
36 0.199209 12496313 11643518 2208919 3945
36 0.187908 12487954 11644617 2115727 3048
36 0.184873 12490607 11643519 2119690 3462
36 0.185937 12496433 11643731 2074106 2955
36 0.185656 12487037 11646697 2082013 3908
40 0.225170 17198295 16090288 7379258 8597
40 0.204719 17205560 16089344 7610563 8818
40 0.199371 17195506 16092634 7616433 1606
40 0.224924 17199610 16096285 7560056 2135
40 0.253711 17191163 16087072 7478842 1395
40 0.206557 17188239 16087964 7489434 1760
40 0.206580 17185679 16089917 7760825 1431
40 0.192165 17196223 16098597 7124792 8462
40 0.208523 17194332 16089847 7660896 1835
40 0.189429 17197628 16083075 7594047 1394
44 0.215947 22916157 21615189 13644954 3790
44 0.237578 22919551 21608143 13588331 3869
44 0.246909 22910402 21636501 13791708 3852
44 0.237312 22918152 21605634 13881705 3479
44 0.245206 22905715 21619101 13677816 3713
44 0.237411 22912675 21627160 13638293 3845
44 0.237187 22910839 21600975 13693624 3490
44 0.240405 22896362 21615170 13905036 4109
44 0.266778 22908468 21620595 13672848 9781
44 0.215337 22919551 21626436 13781106 3457
48 0.259487 29842407 28526649 20518301 8066
48 0.280190 29859659 28532568 20362822 8598
48 0.275587 29842600 28528644 20544867 8529
48 0.277192 29840530 28537698 20299893 8583
48 0.274852 29839975 28560459 20516860 11436
48 0.281728 29843530 28526760 20424270 7685
48 0.293530 29856551 28519452 20357809 8108
48 0.275634 29844031 28552453 20363862 8173
48 0.281973 29838085 28531388 20256044 7965
48 0.265084 29846093 28523084 20235863 8806
52 0.315282 38033632 36777003 28429720 10622
52 0.310329 38041178 36765603 28374258 10588
52 0.300986 38031719 36760467 28437538 11212
52 0.320426 38028029 36778020 28181900 11059
52 0.318494 38022127 36798502 28393181 12785
52 0.323128 38031058 36751360 28462964 12971
52 0.318019 38026807 36777997 28346718 12951
52 0.294533 38033052 36770579 28442683 11036
52 0.311018 38033691 36772613 28262963 10635
52 0.307903 38023744 36775222 28441954 10816
56 0.366840 47913847 46499401 38181035 22493
56 0.369141 47922838 46495035 38281225 22552
56 0.372580 47941550 46468083 38035258 22173
56 0.376611 47939348 46500286 38200526 22701
56 0.378441 47928125 46476605 38286710 22519
56 0.366946 47945016 46494773 38386772 22854
56 0.367187 47932042 46487540 38197888 23089
56 0.378545 47938208 46476385 38123324 27553
56 0.364974 47949076 46484004 38204910 22486
56 0.362832 47926003 46457909 38091730 27390
60 0.444033 60504819 57522424 48774758 23934
60 0.421793 60581301 57534986 48690837 27572
60 0.420909 60574867 57529801 48798503 23876
60 0.442133 60561181 57526990 48687253 28002
60 0.420391 60579685 57529787 48674388 24124
60 0.445599 60618222 57526451 48796602 24174
60 0.430937 60584383 57515208 48742983 24296
60 0.428495 60602758 57497403 48760779 27675
60 0.415142 60587760 57521744 48717198 29073
60 0.427756 60565899 57425359 48642156 24323
